nr;periodiserad;namn;forklaring;utgiven;uppdaterad;dcatnr;distribution;landing;conforms_to;datanr;namn_lank;forklaring_lank;fil_lank;filformat;fromdatum;tomdatum
1;nej;Berakningsfaktorer;Datasetet innehaller nyckeltal som anvands vid berakning av svenska pensioner;2014-01-15;2014-08-27;http://pensionsmyndigheten.se/datasets/dcat#ds1;http://pensionsmyndigheten.se/datasets/dcat#dist1;https://www.pensionsmyndigheten.se/forsta-din-pension/om-pensionssystemet.html;https://www.pensionsmyndigheten.se/forsta-din-pension/om-pensionssystemet/sa-beraknas-din-pension-basbelopp-och-varderegler.html;_n20;Lank;Datasetet innehaller nyckeltal som anvands vid berakning av svenska pensioner;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/f%C3%B6rst%C3%A5-din-pension/basbelopp-och-v%C3%A4rderegler/ber%C3%A4kningsfaktorer/Ber%C3%A4kningsfaktorer_i_Pensionssystemet_v.1.1.xlsx;.xlsx;1905-03-01;2013-01-05
2;nej;Intjanande till inkomstpension;Intjanandet till pensionerna kan matas pa olika satt beroende pa vilket matt man valjer att anvanda. I denna statistik redovisas tre matt for intjanandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsratt och genomsnittlig pensionsbehallnig. Fordelning efter kon och aldersgrupp.;2014-01-16;2014-08-28;http://pensionsmyndigheten.se/datasets/dcat#ds2;http://pensionsmyndigheten.se/datasets/dcat#dist2;https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3;https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3;_n21;Lank;Intjanandet till pensionerna kan matas pa olika satt beroende pa vilket matt man valjer att anvanda. I denna statistik redovisas tre matt for intjanandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsratt och genomsnittlig pensionsbehallnig. Fordelning efter kon och aldersgrupp.;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/SF0301_01.xlsx;.xlsx;2016-01-01;2016-12-31
3;nej;Premiepensionen Pensionsspararna och pensionarerna 2016;Premiepensionssystemet ar den fonderade delen av det allmanna alderspensionssystemet. Vid arsskiftet 2016/2017 omfattade premiepensionssystemet 7,2 miljoner pensionssparare och pensionarer. Den fonderade delen av pensionssystemet innebar en viss riskspridning i forhallande till de risker som finns i inkomstpensionen, den innebar ocksa ? i forvantan ? en nagot hogre allman pension. Priset for forvantad hogre avkastning ar en hogre risk i premiepensionen som sadan, jamfort med t.ex. risken i inkomstpensionssystemet. Med risk menar vi variation i pensionens varde. Inom premiepensionen ar det mojligt for pensionssparare och pensionarer att anpassa risken i den allmanna pensionen utifran sin egen ekonomiska situation och sina egna varderingar. Rapporten ger en sammanfattande beskrivning av laget for pensionsspararna och pensionarerna vid slutet av 2016. Syftet med rapporten ar att folja utvecklingen av premiepensionen samt pensionsspararnas och pensionarernas investeringsbeteende over tid.;2017;;http://pensionsmyndigheten.se/datasets/dcat#ds3;http://pensionsmyndigheten.se/datasets/dcat#dist3;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n22;Lank;Premiepensionssystemet ar den fonderade delen av det allmanna alderspensionssystemet. Vid arsskiftet 2016/2017 omfattade premiepensionssystemet 7,2 miljoner pensionssparare och pensionarer. Den fonderade delen av pensionssystemet innebar en viss riskspridning i forhallande till de risker som finns i inkomstpensionen, den innebar ocksa ? i forvantan ? en nagot hogre allman pension. Priset for forvantad hogre avkastning ar en hogre risk i premiepensionen som sadan, jamfort med t.ex. risken i inkomstpensionssystemet. Med risk menar vi variation i pensionens varde. Inom premiepensionen ar det mojligt for pensionssparare och pensionarer att anpassa risken i den allmanna pensionen utifran sin egen ekonomiska situation och sina egna varderingar. Rapporten ger en sammanfattande beskrivning av laget for pensionsspararna och pensionarerna vid slutet av 2016. Syftet med rapporten ar att folja utvecklingen av premiepensionen samt pensionsspararnas och pensionarernas investeringsbeteende over tid.;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Rapport%20Premiepension%202016.pdf;.pdf;2017-01-01;2017-12-31
4;nej;Rapporterade kundproblem inom premiepensionsomradet;Under 2016 kom det in 1 119 klagomal och synpunkter som rorde radgivning, forvaltning och fondbolag till Pensionsmyndighetens kundservice. 793 klagomal kom in under forsta halvaret och 326 under andra halvan. Att antalet klagomal minskade under den senare delen av aret hanger antagligen ihop med de atgarder som Pensionsmyndigheten vidtog under forsta halvaret. atgarderna var dels att begransa antalet fondbytesblanketter som kan bestallas till en blankett per dag dels att ett bestallt fondbyte maste bekraftas med bank-ID. Promemorian ar en genomgang av de inkomna klagomalen och synpunkterna under 2016. Syftet med promemorian ar att sprida vetskap om de problem och den oro som pensionssparare upplever i samband med att de blir kontaktade av forsaljare av olika tjanster inom premiepensionsomradet. Tankta lasare ar pensionssparare och pensionarer, Pensionsmyndighetens anstallda och andra intresserade.;2017-05-11;;http://pensionsmyndigheten.se/datasets/dcat#ds4;http://pensionsmyndigheten.se/datasets/dcat#dist4;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n23;Lank;Under 2016 kom det in 1 119 klagomal och synpunkter som rorde radgivning, forvaltning och fondbolag till Pensionsmyndighetens kundservice. 793 klagomal kom in under forsta halvaret och 326 under andra halvan. Att antalet klagomal minskade under den senare delen av aret hanger antagligen ihop med de atgarder som Pensionsmyndigheten vidtog under forsta halvaret. atgarderna var dels att begransa antalet fondbytesblanketter som kan bestallas till en blankett per dag dels att ett bestallt fondbyte maste bekraftas med bank-ID. Promemorian ar en genomgang av de inkomna klagomalen och synpunkterna under 2016. Syftet med promemorian ar att sprida vetskap om de problem och den oro som pensionssparare upplever i samband med att de blir kontaktade av forsaljare av olika tjanster inom premiepensionsomradet. Tankta lasare ar pensionssparare och pensionarer, Pensionsmyndighetens anstallda och andra intresserade.;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Rapporterade%20kundproblem.pdf;.pdf;2017-01-01;2017-12-31
5;nej;Medelpensioneringsalder och uttradesalder;I denna rapport redovisas genomsnittsalder for uttag av pension, genomsnittlig intrades och uttradesalder pa arbetsmarknaden samt genomsnittligt antal ar i arbete med pensionsratt.;2017-05-03;;http://pensionsmyndigheten.se/datasets/dcat#ds5;http://pensionsmyndigheten.se/datasets/dcat#dist5;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n24;Lank;I denna rapport redovisas genomsnittsalder for uttag av pension, genomsnittlig intrades och uttradesalder pa arbetsmarknaden samt genomsnittligt antal ar i arbete med pensionsratt.;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Medelpensionerings%C3%A5lder%20och%20uttr%C3%A4des%C3%A5lder-maj%202017.pdf;.pdf;2017-01-01;2017-12-31
6;nej;Sveriges pensioner 2005 - 2015 Inkomstgrundad allman pension, tjanstepension och avdragsgill privat pension;Rapporten visar utvecklingen av pensionsbeloppen for forvaltat kapital, premier och utbetalningar for inkomstgrundad allman alderspension (inkomst-, tillaggs- och premiepension), tjanstepension och avdragsgill privat pension.;2017-04-26;;http://pensionsmyndigheten.se/datasets/dcat#ds6;http://pensionsmyndigheten.se/datasets/dcat#dist6;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n25;Lank;Rapporten visar utvecklingen av pensionsbeloppen for forvaltat kapital, premier och utbetalningar for inkomstgrundad allman alderspension (inkomst-, tillaggs- och premiepension), tjanstepension och avdragsgill privat pension.;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Sveriges%20Pensioner%202005-2015_v1.0.pdf;.pdf;2017-01-01;2017-12-31
7;nej;Regleringsbrevsuppdrag 2017: Utveckla typfallsmatt;Uppdraget i regeringens regleringsbrev till Pensionsmyndigheten innebar att lopande varje ar redovisa pensionsutvecklingen som pensionsinkomsten efter skatt och bidrag under en tioarsperiod for nagra typiska ensamstaende pensionarer fodda 1938 eller senare. Typfallen avser en pensionar med garantipension, genomsnittlig kvinnlig respektive manlig pensionar samt en pensionar med hog allman pension. I Sverige ar pensionsaldern flexibel fran och med 61 ars alder men de flesta valjer dock att ga i pension vid 65 ars alder.;2017-04-24;;http://pensionsmyndigheten.se/datasets/dcat#ds7;http://pensionsmyndigheten.se/datasets/dcat#dist7;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n26;Lank;Uppdraget i regeringens regleringsbrev till Pensionsmyndigheten innebar att lopande varje ar redovisa pensionsutvecklingen som pensionsinkomsten efter skatt och bidrag under en tioarsperiod for nagra typiska ensamstaende pensionarer fodda 1938 eller senare. Typfallen avser en pensionar med garantipension, genomsnittlig kvinnlig respektive manlig pensionar samt en pensionar med hog allman pension. I Sverige ar pensionsaldern flexibel fran och med 61 ars alder men de flesta valjer dock att ga i pension vid 65 ars alder.;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/2017%20typfallsm%C3%A5tt.v.1.0.pdf;.pdf;2017-01-01;2017-12-31
8;nej;Jamforelse i utfall av inkomstgrundad allman pension i det nya och det gamla pensionssystemet for fodda 1938-1945;Denna studie jamfor utfallen i det nya och det gamla pensionssystemet for dem fodda 1938-1945, den sa kallade mellangenerationen. Beroende pa fodelsear har individen olika tjugondelar i det nya pensionssystemet, t.ex. fodda 1938 har 4 tjugondelar och 1945 har 11 tjugondelar. Resterande tjugondel har intjanats i det gamla systemet.;2017-03-21;;http://pensionsmyndigheten.se/datasets/dcat#ds8;http://pensionsmyndigheten.se/datasets/dcat#dist8;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n27;Lank;Denna studie jamfor utfallen i det nya och det gamla pensionssystemet for dem fodda 1938-1945, den sa kallade mellangenerationen. Beroende pa fodelsear har individen olika tjugondelar i det nya pensionssystemet, t.ex. fodda 1938 har 4 tjugondelar och 1945 har 11 tjugondelar. Resterande tjugondel har intjanats i det gamla systemet.;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Pension%20i%20det%20gamla%20och%20nya%20pensionssystemet%20-%20en%20studie.pdf;.pdf;2017-01-01;2017-12-31
9;nej;Tidigt uttag av pension i placeringssyfte;Manga individer har funderingar over nar det ar lampligast att borja ta ut den allmanna pensionen. Vissa valjer att paborja uttaget redan vid 61 ar medan andra vantar med uttag till 65 ar eller senare. Den egna livssituationen blir avgorande for vilken tidpunkt man valjer. Manga upplever svarigheter med att bestamma sig da det finns en hel rad aspekter att ta hansyn till;2017-01-19;;http://pensionsmyndigheten.se/datasets/dcat#ds9;http://pensionsmyndigheten.se/datasets/dcat#dist9;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n28;Lank;Manga individer har funderingar over nar det ar lampligast att borja ta ut den allmanna pensionen. Vissa valjer att paborja uttaget redan vid 61 ar medan andra vantar med uttag till 65 ar eller senare. Den egna livssituationen blir avgorande for vilken tidpunkt man valjer. Manga upplever svarigheter med att bestamma sig da det finns en hel rad aspekter att ta hansyn till;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Tidigt%20uttag%20av%20pension%20i%20placeringssyfte.pdf;.pdf;2017-01-01;2017-12-31
10;nej;Marknaden for seniorlan;Seniorlan ar ett samlingsnamn for lan som vander sig till aldre personer som har ett behov av kapital och ager en bostad, men som idag inte har mojlighet att ta ett traditionellt bostadslan. Lanens konstruktion kan variera men det som sarskiljer ett seniorlan fran andra bostadslan ar att rantan inte betalas med disponibel inkomst utan med lanade pengar.;2017-01-04;;http://pensionsmyndigheten.se/datasets/dcat#ds10;http://pensionsmyndigheten.se/datasets/dcat#dist10;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n29;Lank;Seniorlan ar ett samlingsnamn for lan som vander sig till aldre personer som har ett behov av kapital och ager en bostad, men som idag inte har mojlighet att ta ett traditionellt bostadslan. Lanens konstruktion kan variera men det som sarskiljer ett seniorlan fran andra bostadslan ar att rantan inte betalas med disponibel inkomst utan med lanade pengar.;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Marknaden%20f%C3%B6r%20seniorl%C3%A5n.pdf;.pdf;2017-01-01;2017-12-31
