nr	periodiserad	namn	forklaring	utgiven	uppdaterad	dcatnr	distribution	landing	conforms_to	datanr	namn_lank	forklaring_lank	fil_lank	filformat	fromdatum	tomdatum
1	nej	Berakningsfaktorer	Datasetet innehaller nyckeltal som anvands vid berakning av svenska pensioner	2014-01-15	2014-08-27	http://pensionsmyndigheten.se/datasets/dcat#ds1	http://pensionsmyndigheten.se/datasets/dcat#dist1	https://www.pensionsmyndigheten.se/forsta-din-pension/om-pensionssystemet.html	https://www.pensionsmyndigheten.se/forsta-din-pension/om-pensionssystemet/sa-beraknas-din-pension-basbelopp-och-varderegler.html	_n20	Länk	Datasetet innehaller nyckeltal som anvands vid berakning av svenska pensioner	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/f%C3%B6rst%C3%A5-din-pension/basbelopp-och-v%C3%A4rderegler/ber%C3%A4kningsfaktorer/Ber%C3%A4kningsfaktorer_i_Pensionssystemet_v.1.1.xlsx	.xlsx	1905-03-01	2013-01-05
2	nej	Intjanande till inkomstpension	Intjanandet till pensionerna kan matas pa olika satt beroende pa vilket matt man valjer att anvanda. I denna statistik redovisas tre matt for intjanandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsratt och genomsnittlig pensionsbehallnig. Fordelning efter kon och aldersgrupp.	2014-01-16	2014-08-28	http://pensionsmyndigheten.se/datasets/dcat#ds2	http://pensionsmyndigheten.se/datasets/dcat#dist2	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n21	Länk	Intjanandet till pensionerna kan matas pa olika satt beroende pa vilket matt man valjer att anvanda. I denna statistik redovisas tre matt for intjanandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsratt och genomsnittlig pensionsbehallnig. Fordelning efter kon och aldersgrupp.	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/SF0301_01.xlsx	.xlsx	2016-01-01	2016-12-31
3	nej	Premiepensionen Pensionsspararna och pensionärerna 2016	Premiepensionssystemet är den fonderade delen av det allmänna ålderspensionssystemet. Vid årsskiftet 2016/2017 omfattade premiepensionssystemet 7,2 miljoner pensionssparare och pensionärer. Den fonderade delen av pensionssystemet innebär en viss riskspridning i förhållande till de risker som finns i inkomstpensionen, den innebär också – i förväntan – en något högre allmän pension. Priset för förväntad högre avkastning är en högre risk i premiepensionen som sådan, jämfört med t.ex. risken i inkomstpensionssystemet. Med risk menar vi variation i pensionens värde. Inom premiepensionen är det möjligt för pensionssparare och pensionärer att anpassa risken i den allmänna pensionen utifrån sin egen ekonomiska situation och sina egna värderingar. Rapporten ger en sammanfattande beskrivning av läget för pensionsspararna och pensionärerna vid slutet av 2016. Syftet med rapporten är att följa utvecklingen av premiepensionen samt pensionsspararnas och pensionärernas investeringsbeteende över tid.	2017		http://pensionsmyndigheten.se/datasets/dcat#ds3	http://pensionsmyndigheten.se/datasets/dcat#dist3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	_n22	Länk	Premiepensionssystemet är den fonderade delen av det allmänna ålderspensionssystemet. Vid årsskiftet 2016/2017 omfattade premiepensionssystemet 7,2 miljoner pensionssparare och pensionärer. Den fonderade delen av pensionssystemet innebär en viss riskspridning i förhållande till de risker som finns i inkomstpensionen, den innebär också – i förväntan – en något högre allmän pension. Priset för förväntad högre avkastning är en högre risk i premiepensionen som sådan, jämfört med t.ex. risken i inkomstpensionssystemet. Med risk menar vi variation i pensionens värde. Inom premiepensionen är det möjligt för pensionssparare och pensionärer att anpassa risken i den allmänna pensionen utifrån sin egen ekonomiska situation och sina egna värderingar. Rapporten ger en sammanfattande beskrivning av läget för pensionsspararna och pensionärerna vid slutet av 2016. Syftet med rapporten är att följa utvecklingen av premiepensionen samt pensionsspararnas och pensionärernas investeringsbeteende över tid.	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Rapport%20Premiepension%202016.pdf	.pdf	2017-01-01	2017-12-31
4	nej	Rapporterade kundproblem inom premiepensionsområdet	Under 2016 kom det in 1 119 klagomål och synpunkter som rörde rådgivning, förvaltning och fondbolag till Pensionsmyndighetens kundservice. 793 klagomål kom in under första halvåret och 326 under andra halvan. Att antalet klagomål minskade under den senare delen av året hänger antagligen ihop med de åtgärder som Pensionsmyndigheten vidtog under första halvåret. Åtgärderna var dels att begränsa antalet fondbytesblanketter som kan beställas till en blankett per dag dels att ett beställt fondbyte måste bekräftas med bank-ID. Promemorian är en genomgång av de inkomna klagomålen och synpunkterna under 2016. Syftet med promemorian är att sprida vetskap om de problem och den oro som pensionssparare upplever i samband med att de blir kontaktade av försäljare av olika tjänster inom premiepensionsområdet. Tänkta läsare är pensionssparare och pensionärer, Pensionsmyndighetens anställda och andra intresserade.	2017-05-11		http://pensionsmyndigheten.se/datasets/dcat#ds4	http://pensionsmyndigheten.se/datasets/dcat#dist4	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	_n23	Länk	Under 2016 kom det in 1 119 klagomål och synpunkter som rörde rådgivning, förvaltning och fondbolag till Pensionsmyndighetens kundservice. 793 klagomål kom in under första halvåret och 326 under andra halvan. Att antalet klagomål minskade under den senare delen av året hänger antagligen ihop med de åtgärder som Pensionsmyndigheten vidtog under första halvåret. Åtgärderna var dels att begränsa antalet fondbytesblanketter som kan beställas till en blankett per dag dels att ett beställt fondbyte måste bekräftas med bank-ID. Promemorian är en genomgång av de inkomna klagomålen och synpunkterna under 2016. Syftet med promemorian är att sprida vetskap om de problem och den oro som pensionssparare upplever i samband med att de blir kontaktade av försäljare av olika tjänster inom premiepensionsområdet. Tänkta läsare är pensionssparare och pensionärer, Pensionsmyndighetens anställda och andra intresserade.	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Rapporterade%20kundproblem.pdf	.pdf	2017-01-01	2017-12-31
5	nej	Medelpensioneringsålder och utträdesålder	I denna rapport redovisas genomsnittsålder för uttag av pension, genomsnittlig inträdes och utträdesålder på arbetsmarknaden samt genomsnittligt antal år i arbete med pensionsrätt.	2017-05-03		http://pensionsmyndigheten.se/datasets/dcat#ds5	http://pensionsmyndigheten.se/datasets/dcat#dist5	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	_n24	Länk	I denna rapport redovisas genomsnittsålder för uttag av pension, genomsnittlig inträdes och utträdesålder på arbetsmarknaden samt genomsnittligt antal år i arbete med pensionsrätt.	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Medelpensionerings%C3%A5lder%20och%20uttr%C3%A4des%C3%A5lder-maj%202017.pdf	.pdf	2017-01-01	2017-12-31
6	nej	Sveriges pensioner 2005 - 2015 Inkomstgrundad allmän pension, tjänstepension och avdragsgill privat pension	Rapporten visar utvecklingen av pensionsbeloppen för förvaltat kapital, premier och utbetalningar för inkomstgrundad allmän ålderspension (inkomst-, tilläggs- och premiepension), tjänstepension och avdragsgill privat pension.	2017-04-26		http://pensionsmyndigheten.se/datasets/dcat#ds6	http://pensionsmyndigheten.se/datasets/dcat#dist6	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	_n25	Länk	Rapporten visar utvecklingen av pensionsbeloppen för förvaltat kapital, premier och utbetalningar för inkomstgrundad allmän ålderspension (inkomst-, tilläggs- och premiepension), tjänstepension och avdragsgill privat pension.	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Sveriges%20Pensioner%202005-2015_v1.0.pdf	.pdf	2017-01-01	2017-12-31
7	nej	Regleringsbrevsuppdrag 2017: Utveckla typfallsmått	Uppdraget i regeringens regleringsbrev till Pensionsmyndigheten innebär att löpande varje år redovisa pensionsutvecklingen som pensionsinkomsten efter skatt och bidrag under en tioårsperiod för några typiska ensamstående pensionärer födda 1938 eller senare. Typfallen avser en pensionär med garantipension, genomsnittlig kvinnlig respektive manlig pensionär samt en pensionär med hög allmän pension. I Sverige är pensionsåldern flexibel från och med 61 års ålder men de flesta väljer dock att gå i pension vid 65 års ålder.	2017-04-24		http://pensionsmyndigheten.se/datasets/dcat#ds7	http://pensionsmyndigheten.se/datasets/dcat#dist7	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	_n26	Länk	Uppdraget i regeringens regleringsbrev till Pensionsmyndigheten innebär att löpande varje år redovisa pensionsutvecklingen som pensionsinkomsten efter skatt och bidrag under en tioårsperiod för några typiska ensamstående pensionärer födda 1938 eller senare. Typfallen avser en pensionär med garantipension, genomsnittlig kvinnlig respektive manlig pensionär samt en pensionär med hög allmän pension. I Sverige är pensionsåldern flexibel från och med 61 års ålder men de flesta väljer dock att gå i pension vid 65 års ålder.	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/2017%20typfallsm%C3%A5tt.v.1.0.pdf	.pdf	2017-01-01	2017-12-31
8	nej	Jämförelse i utfall av inkomstgrundad allmän pension i det nya och det gamla pensionssystemet för födda 1938-1945	Denna studie jämför utfallen i det nya och det gamla pensionssystemet för dem födda 1938-1945, den så kallade mellangenerationen. Beroende på födelseår har individen olika tjugondelar i det nya pensionssystemet, t.ex. födda 1938 har 4 tjugondelar och 1945 har 11 tjugondelar. Resterande tjugondel har intjänats i det gamla systemet.	2017-03-21		http://pensionsmyndigheten.se/datasets/dcat#ds8	http://pensionsmyndigheten.se/datasets/dcat#dist8	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	_n27	Länk	Denna studie jämför utfallen i det nya och det gamla pensionssystemet för dem födda 1938-1945, den så kallade mellangenerationen. Beroende på födelseår har individen olika tjugondelar i det nya pensionssystemet, t.ex. födda 1938 har 4 tjugondelar och 1945 har 11 tjugondelar. Resterande tjugondel har intjänats i det gamla systemet.	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Pension%20i%20det%20gamla%20och%20nya%20pensionssystemet%20-%20en%20studie.pdf	.pdf	2017-01-01	2017-12-31
9	nej	Tidigt uttag av pension i placeringssyfte	Många individer har funderingar över när det är lämpligast att börja ta ut den allmänna pensionen. Vissa väljer att påbörja uttaget redan vid 61 år medan andra väntar med uttag till 65 år eller senare. Den egna livssituationen blir avgörande för vilken tidpunkt man väljer. Många upplever svårigheter med att bestämma sig då det finns en hel rad aspekter att ta hänsyn till	2017-01-19		http://pensionsmyndigheten.se/datasets/dcat#ds9	http://pensionsmyndigheten.se/datasets/dcat#dist9	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	_n28	Länk	Många individer har funderingar över när det är lämpligast att börja ta ut den allmänna pensionen. Vissa väljer att påbörja uttaget redan vid 61 år medan andra väntar med uttag till 65 år eller senare. Den egna livssituationen blir avgörande för vilken tidpunkt man väljer. Många upplever svårigheter med att bestämma sig då det finns en hel rad aspekter att ta hänsyn till	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Tidigt%20uttag%20av%20pension%20i%20placeringssyfte.pdf	.pdf	2017-01-01	2017-12-31
10	nej	Marknaden för seniorlån	Seniorlån är ett samlingsnamn för lån som vänder sig till äldre personer som har ett behov av kapital och äger en bostad, men som idag inte har möjlighet att ta ett traditionellt bostadslån. Lånens konstruktion kan variera men det som särskiljer ett seniorlån från andra bostadslån är att räntan inte betalas med disponibel inkomst utan med lånade pengar.	2017-01-04		http://pensionsmyndigheten.se/datasets/dcat#ds10	http://pensionsmyndigheten.se/datasets/dcat#dist10	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter	_n29	Länk	Seniorlån är ett samlingsnamn för lån som vänder sig till äldre personer som har ett behov av kapital och äger en bostad, men som idag inte har möjlighet att ta ett traditionellt bostadslån. Lånens konstruktion kan variera men det som särskiljer ett seniorlån från andra bostadslån är att räntan inte betalas med disponibel inkomst utan med lånade pengar.	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/publikationer/rapporter/20171/Marknaden%20f%C3%B6r%20seniorl%C3%A5n.pdf	.pdf	2017-01-01	2017-12-31
